,CL,GC,QM,NG,QG
0,55.81,1255.8,73.8,2.858,2.858
1,55.95,1260.24,73.476,2.8216,2.8216
2,56.5,1256.72,73.49000000000002,2.7760000000000002,2.7760000000000002
3,57.04,1246.2,69.46799999999999,2.8098,2.8098
4,56.78,1248.6,69.54599999999999,2.7722,2.7722
5,56.75,1243.8,69.95,2.7239999999999998,2.7239999999999998
6,56.12,1242.2,67.07,2.73,2.73
7,56.17,1229.9,67.16,2.707,2.707
8,56.96,1230.5,67.75,2.6889999999999996,2.6889999999999996
9,56.27,1226.5,68.24,2.736,2.736
10,56.63,1233.6,68.26,2.728,2.728
11,55.42,1228.0,67.89,2.695,2.695
12,56.06,1228.2,68.52,2.719,2.719
13,56.75,1234.5,69.3,2.755,2.755
14,57.19,1228.6,69.61,2.762,2.762
15,56.25,1226.5,68.69,2.782,2.782
16,55.47,1224.2,70.13,2.7969999999999997,2.7969999999999997
17,56.1,1226.4,68.76,2.782,2.782
18,56.21,1220.3,67.66,2.758,2.758
19,56.49,1212.9,68.96,2.8160000000000003,2.8160000000000003
20,56.87,1215.9,68.49,2.853,2.853
21,57.32,1210.6,69.01,2.86,2.86
22,57.57,1211.2,69.17,2.897,2.897
23,57.84,1214.6,66.80199999999999,2.9502,2.9502
24,59.05,1213.84,66.542,2.9566,2.9566
25,58.86,1213.36,67.21600000000001,2.947,2.947
26,58.96,1193.8000000000004,66.696,2.9348,2.9348
27,59.42,1196.1,66.33,2.966,2.966
28,59.4,1180.5,64.46,2.948,2.948
29,60.2,1179.6,64.88,2.9130000000000003,2.9130000000000003
30,60.47,1179.8,65.21,2.949,2.949
31,60.27,1190.2,65.42,2.932,2.932
32,60.66,1195.5,65.84,2.964,2.964
33,61.53,1198.7,67.86,2.944,2.944
34,61.91,1189.3,67.83,2.9530000000000003,2.9530000000000003
35,62.09,1208.6,68.72,2.9130000000000003,2.9130000000000003
36,62.61,1211.2,68.87,2.8689999999999998,2.8689999999999998
37,62.19,1209.5,68.53,2.845,2.845
38,62.44,1206.5,69.51,2.863,2.863
39,62.45,1200.0,70.25,2.8739999999999997,2.8739999999999997
40,61.93,1201.6,69.8,2.9160000000000004,2.9160000000000004
41,62.22,1194.0,69.87,2.823,2.823
42,62.98,1196.1,68.72,2.795,2.795
43,63.58,1199.0,67.77,2.772,2.772
44,63.75,1195.1,67.75,2.7760000000000002,2.7760000000000002
45,64.2,1195.04,67.51400000000001,2.8048,2.8048
46,63.7,1197.88,69.166,2.8276,2.8276
47,62.83,1207.12,70.244,2.8236,2.8236
48,63.02,1204.96,68.446,2.8034,2.8034
49,63.77,1198.6,68.77,2.7510000000000003,2.7510000000000003
50,62.95,,,,
51,61.92,,,,
52,61.21,,,,
53,59.86,,,,
54,59.39,,,,
55,57.45,,,,
56,57.46,,,,
57,57.58,,,,
58,59.0,,,,
59,59.17,,,,
60,59.63,,,,
61,60.23,,,,
62,60.29,,,,
63,61.25,,,,
64,62.16,,,,
65,62.48,,,,
66,61.71,,,,
67,60.14,,,,
68,59.45,,,,
69,59.87,,,,
70,61.08,,,,
71,61.23,,,,
72,59.93,,,,
73,59.27,,,,
74,60.89,,,,
75,60.49,,,,
76,60.07,,,,
77,60.31,,,,
78,60.46,,,,
79,61.49,,,,
80,61.16,,,,
81,62.38,,,,
82,64.0,,,,
83,63.37,,,,
84,64.74,,,,
85,64.49,,,,
86,64.36,,,,
87,63.59,,,,
88,64.04,,,,
89,62.26,,,,
90,62.77,,,,
91,62.69,,,,
92,62.98,,,,
93,61.64,,,,
94,62.91,,,,
95,64.7,,,,
96,65.91,,,,
97,66.01,,,,
98,66.45,,,,
99,65.46,,,,
100,65.75,,,,
101,67.55,,,,
102,67.53,,,,
103,67.66,,,,
104,68.02,,,,
105,67.17,,,,
106,67.53,,,,
107,67.74,,,,
108,67.63,,,,
109,68.17,,,,
110,66.82,,,,
111,67.35,,,,
112,67.8,,,,
113,69.16,,,,
114,70.26,,,,
115,68.66,,,,
116,70.75,,,,
117,71.07,,,,
118,70.47,,,,
119,70.81,,,,
120,71.15,,,,
121,71.35,,,,
122,71.33,,,,
123,71.11,,,,
124,72.08,,,,
125,72.02,,,,
126,71.71,,,,
127,70.58,,,,
128,67.78,,,,
129,66.62,,,,
130,68.08,,,,
131,66.91,,,,
132,65.77,,,,
133,64.68,,,,
134,65.46,,,,
135,64.7,,,,
136,65.89,,,,
137,65.67,,,,
138,66.03,,,,
139,66.28,,,,
140,66.52,,,,
141,66.69,,,,
142,64.85,,,,
143,65.69,,,,
144,64.9,,,,
145,65.71,,,,
146,65.54,,,,
147,68.58,,,,
148,68.08,,,,
149,70.53,,,,
150,72.76,,,,
151,73.45,,,,
152,74.15,,,,
153,73.94,,,,
154,74.14,,,,
155,72.94,,,,
156,73.8,,,,
157,73.476,,,,
158,73.49000000000002,,,,
159,69.46799999999999,,,,
160,69.54599999999999,,,,
161,69.95,,,,
162,67.07,,,,
163,67.16,,,,
164,67.75,,,,
165,68.24,,,,
166,68.26,,,,
167,67.89,,,,
168,68.52,,,,
169,69.3,,,,
170,69.61,,,,
171,68.69,,,,
172,70.13,,,,
173,68.76,,,,
174,67.66,,,,
175,68.96,,,,
176,68.49,,,,
177,69.01,,,,
178,69.17,,,,
179,66.80199999999999,,,,
180,66.542,,,,
181,67.21600000000001,,,,
182,66.696,,,,
183,66.33,,,,
184,64.46,,,,
185,64.88,,,,
186,65.21,,,,
187,65.42,,,,
188,65.84,,,,
189,67.86,,,,
190,67.83,,,,
191,68.72,,,,
192,68.87,,,,
193,68.53,,,,
194,69.51,,,,
195,70.25,,,,
196,69.8,,,,
197,69.87,,,,
198,68.72,,,,
199,67.77,,,,
200,67.75,,,,
201,67.51400000000001,,,,
202,69.166,,,,
203,70.244,,,,
204,68.446,,,,
205,68.77,,,,
